"Time (s)","Sound pressure level (dB)"
4.200737800E1,-4.672057424E1
4.220238280E1,-4.771135539E1
4.239878139E1,-4.504979939E1
4.260006186E1,-4.666878864E1
4.280205285E1,-4.772143108E1
4.300520686E1,-3.978198153E1
4.320540628E1,-4.199807862E1
4.340316373E1,-4.415476841E1
4.360266899E1,-4.606001672E1
4.380293420E1,-4.676433524E1
4.400319394E1,-4.409046378E1
4.420221451E1,-4.737595990E1
4.440223410E1,-4.717852628E1
4.460420467E1,-4.652705503E1
4.480596644E1,-4.528282963E1
4.500502415E1,-4.389608670E1
4.520449675E1,-4.371476730E1
4.540986196E1,-4.667024340E1
4.560621743E1,-4.404618891E1
4.580972040E1,-4.442865591E1
4.600504061E1,-4.875825482E1
4.621506644E1,-4.628043963E1
4.640604748E1,-4.520280122E1
4.660934826E1,-4.560642621E1
4.680199123E1,-4.785031109E1
4.701248342E1,-4.568209297E1
4.720302337E1,-4.816282364E1
4.740716311E1,-4.414478264E1
4.762226332E1,-4.588238280E1
4.781083608E1,-4.556242815E1
4.800716269E1,-4.501015464E1
4.821958498E1,-4.727262924E1
4.841487930E1,-4.627119085E1
4.860505686E1,-4.458829731E1
4.880306831E1,-4.538110250E1
4.901610764E1,-4.511880290E1
4.922485508E1,-4.785800414E1
4.940552529E1,-4.629924391E1
4.961591816E1,-4.668113212E1
4.980774581E1,-4.602749581E1
5.001039503E1,-4.692972435E1
5.021412738E1,-4.692320242E1
5.040869201E1,-4.506294424E1
5.061861415E1,-4.573499126E1
5.080595284E1,-4.607914853E1
5.100866514E1,-4.825695059E1
5.120764639E1,-4.616113205E1
5.140931394E1,-4.804457169E1
5.160460321E1,-4.591401105E1
5.180986639E1,-4.454289181E1
5.200915019E1,-4.558968509E1
5.220648633E1,-4.551824271E1
5.241130779E1,-4.454846481E1
5.260710764E1,-4.461741099E1
5.281235415E1,-4.583306789E1
5.302104097E1,-4.658740460E1
5.320722962E1,-4.599266180E1
5.341847743E1,-4.433290096E1
5.360793623E1,-4.646074075E1
5.380808206E1,-4.824661451E1
5.400591045E1,-4.656533268E1
5.420988133E1,-4.677280465E1
5.440999774E1,-4.629955848E1
5.460810295E1,-4.536929848E1
5.480327795E1,-4.540736640E1
5.500788847E1,-4.655319540E1
