"Time (s)","Sound pressure level (dB)"
1.434751713E1,-2.528342366E1
1.455175328E1,-2.216990749E1
1.473599208E1,-2.625446183E1
1.493464187E1,-2.358526931E1
1.513690031E1,-2.815333912E1
1.533513005E1,-2.534043319E1
1.555532229E1,-1.967559613E1
1.573648499E1,-2.362712656E1
1.593660223E1,-2.451358738E1
1.613549176E1,-2.477238224E1
1.633852296E1,-2.388207618E1
1.654945604E1,-2.691647575E1
1.674984984E1,-2.425898439E1
1.694146708E1,-2.663703137E1
1.714475062E1,-2.594660623E1
1.734273036E1,-2.435095602E1
1.753561140E1,-2.397380112E1
1.773623447E1,-1.674314523E1
1.793726536E1,-2.278714032E1
1.813510630E1,-2.113296532E1
1.833499900E1,-2.310038389E1
1.853904208E1,-2.169303561E1
1.873678984E1,-2.315535154E1
1.894406254E1,-2.150821308E1
1.914354504E1,-2.559390666E1
1.933489322E1,-1.935133354E1
1.953791749E1,-2.643359085E1
1.974137463E1,-2.379126121E1
1.994026166E1,-2.760110967E1
2.013619333E1,-2.365698572E1
2.033526530E1,-2.722382131E1
2.053377978E1,-2.710172018E1
2.074018166E1,-2.662690884E1
2.094064468E1,-2.608026741E1
2.113371077E1,-2.726106212E1
2.133485973E1,-2.637015929E1
2.153129760E1,-2.266862362E1
2.172883853E1,-2.616612020E1
2.193461984E1,-2.690617919E1
2.213896447E1,-2.875657747E1
2.232912655E1,-2.667327997E1
2.252961676E1,-2.550810386E1
2.273268431E1,-2.790386542E1
2.292946208E1,-2.790177884E1
2.313218780E1,-2.528992413E1
2.333340036E1,-2.632725866E1
2.352853431E1,-2.736217749E1
2.373115390E1,-2.558354503E1
2.392999744E1,-2.473277554E1
2.414181978E1,-2.608968132E1
2.433121452E1,-2.595633901E1
2.453807150E1,-2.669076005E1
2.473264812E1,-2.540453196E1
2.492991176E1,-2.586110147E1
2.513522129E1,-2.533620709E1
2.533275671E1,-2.606634801E1
2.553547858E1,-2.529541570E1
2.573447827E1,-2.506913430E1
2.593301431E1,-2.447629805E1
2.613379593E1,-2.601163458E1
2.634104843E1,-2.427820907E1
2.654357916E1,-2.382544457E1
2.673806197E1,-2.421171331E1
2.693842728E1,-2.492153878E1
2.713951812E1,-2.286147640E1
2.734245275E1,-2.412597890E1
2.754659608E1,-2.600403938E1
2.773709770E1,-2.665005606E1
2.793353186E1,-2.700465245E1
2.813521041E1,-2.576108232E1
2.833411145E1,-2.452202911E1
2.853454702E1,-2.570523557E1
2.873899634E1,-2.507288743E1
2.893331285E1,-2.602327942E1
2.913396004E1,-2.640264680E1
2.934000785E1,-2.597191132E1
2.953568567E1,-2.773216298E1
2.974112608E1,-2.655832994E1
2.993019874E1,-2.708055429E1
3.013583041E1,-2.720974449E1
3.033467056E1,-2.722094726E1
3.054743332E1,-2.768745744E1
3.074254421E1,-2.610265237E1
3.094156895E1,-2.655947143E1
3.113814228E1,-2.681587656E1
3.134070619E1,-2.787050410E1
3.154261582E1,-2.651914303E1
3.174171233E1,-2.644041283E1
3.193566822E1,-2.618230539E1
3.213717869E1,-2.684255287E1
3.234190155E1,-2.612778756E1
3.254540968E1,-2.669479016E1
3.273118327E1,-2.630650650E1
3.293372176E1,-2.711136215E1
3.313375035E1,-2.605083924E1
3.334655155E1,-2.715419403E1
3.353819832E1,-2.712721894E1
3.373731499E1,-2.626608606E1
3.394154040E1,-2.565619821E1
3.413749353E1,-2.796907923E1
3.433384962E1,-2.590150173E1
3.454728046E1,-2.715195400E1
3.474737030E1,-2.612098077E1
3.493377608E1,-2.746942678E1
3.513652170E1,-2.718357274E1
3.533775905E1,-2.593393039E1
3.554705394E1,-2.631726807E1
3.574123764E1,-2.721336513E1
3.593652681E1,-2.646486288E1
3.613612618E1,-2.652679047E1
3.633981645E1,-2.765356601E1
3.653759926E1,-2.492659295E1
3.674089493E1,-2.658008093E1
